CNPJ,RazaoSocial,RegistroANS,Trimestre,Ano,ValorDespesas
,,306045,3,2025,35565346.15
,,306100,1,2025,232263918.07000002
,,306100,2,2025,435482308.0
,,306100,3,2025,652702652.48
,,306126,1,2025,242373957.99
,,306126,2,2025,492961248.42
,,306126,3,2025,752563052.63
,,306398,1,2025,870135044.57
,,306398,2,2025,1699705416.68
,,306398,3,2025,2565819569.94
,,306754,1,2025,59813067.01
,,306754,2,2025,126185319.81
,,306754,3,2025,185198123.9
,,306762,1,2025,257486211.67000002
,,306762,2,2025,500110293.96
,,306762,3,2025,751645630.1
,,306886,1,2025,833334675.37
,,306886,2,2025,1579011549.26
,,306886,3,2025,2391776433.03
,,307319,1,2025,405210996.06
,,307319,2,2025,772059684.95
,,307319,3,2025,1185699581.11
,,307751,1,2025,174775659.34
,,307751,2,2025,351543263.3
,,307751,3,2025,514945892.12
,,308811,1,2025,54327077.1
,,308811,2,2025,103350354.3
,,308811,3,2025,158301075.87
,,309028,1,2025,50796947.3
,,309028,2,2025,67697997.15
,,309028,3,2025,85574413.87
,,309087,1,2025,117092739.67
,,309087,2,2025,244718026.7
,,309087,3,2025,369709368.98
,,309222,1,2025,3372539430.79
,,309222,2,2025,5990340248.97
,,309222,3,2025,9089399981.45
,,309524,1,2025,40292651.64
,,309524,2,2025,80256796.67
,,309524,3,2025,120196622.71000001
,,309907,1,2025,253322461.34
,,309907,2,2025,448291327.77
,,309907,3,2025,640497180.66
,,310239,1,2025,37225708.18
,,310239,2,2025,66330585.27
,,310239,3,2025,99497440.58
,,310247,1,2025,379119973.8
,,310247,2,2025,718006998.72
,,310247,3,2025,1096389743.83
,,310522,1,2025,299787446.14
,,310522,2,2025,568956306.39
,,310522,3,2025,939980586.53
,,310981,1,2025,20183435.400000002
,,310981,2,2025,38103694.58
,,310981,3,2025,56146378.4
,,311057,1,2025,10823727.01
,,311057,2,2025,19439391.04
,,311057,3,2025,29255773.21
,,311146,1,2025,110255199.07000001
,,311146,2,2025,183522706.35
,,311146,3,2025,258131342.36
,,311294,1,2025,238853670.08
,,311294,2,2025,472357725.25
,,311294,3,2025,688682806.88
,,311359,1,2025,117962652.06
,,311359,2,2025,241697716.36
,,311359,3,2025,387466173.12
,,311375,1,2025,300000001.88
,,311375,2,2025,578759762.3
,,311375,3,2025,894911081.6
,,311391,1,2025,15653753.82
,,311391,2,2025,30825036.63
,,311391,3,2025,44620754.9
,,311472,3,2025,27388030.639999997
,,311618,1,2025,165463309.27
,,311618,2,2025,312533726.25
,,311618,3,2025,459295585.39
,,311715,1,2025,215437431.04
,,311715,2,2025,402098735.42
,,311715,3,2025,627703901.13
,,311847,1,2025,509943685.51
,,311847,2,2025,969040181.05
,,311847,3,2025,1460631317.12
,,311944,1,2025,49057464.83
,,311944,2,2025,90120047.05
,,311944,3,2025,137547193.99
,,311961,1,2025,437223589.86
,,311961,2,2025,590028651.98
,,311961,3,2025,988087562.04
,,312126,1,2025,3449394094.0699997
,,312126,2,2025,6376878546.6
,,312126,3,2025,9492214698.51
,,312282,1,2025,63550008.910000004
,,312282,2,2025,117339846.8
,,312282,3,2025,187190391.31
,,312347,1,2025,282599268.09
,,312347,2,2025,483820716.58
,,312347,3,2025,702745687.77
,,312363,1,2025,8573024504.06
,,312363,2,2025,14739246901.35
,,312363,3,2025,20587973524.84
,,312592,1,2025,171725883.65
,,312592,2,2025,326223678.17
,,312592,3,2025,493386926.40999997
,,312720,1,2025,1055027723.41
,,312720,2,2025,1977397568.27
,,312720,3,2025,3061966401.13
,,312851,1,2025,1395559940.95
,,312851,2,2025,2565706945.41
,,312851,3,2025,3827531871.31
,,313084,1,2025,92936578.88
,,313084,2,2025,166372642.38
,,313084,3,2025,242888466.62
